Threads,Run,Execution Time (s),Average Time (s)
1,1,60.32985,
1,2,60.32965,
1,3,60.32849,
1,4,60.31666,
1,5,60.32711,
1,Average,,60.32635
2,1,81.82470,
2,2,84.07198,
2,3,75.65466,
2,4,83.78209,
2,5,77.54995,
2,Average,,80.57667
4,1,85.18377,
4,2,94.11399,
4,3,117.06945,
4,4,107.83713,
4,5,116.60132,
4,Average,,104.16113
8,1,86.59789,
8,2,109.54616,
8,3,112.79244,
8,4,85.57965,
8,5,81.12780,
8,Average,,95.12879
16,1,50.94674,
16,2,38.88273,
16,3,54.21997,
16,4,48.57985,
16,5,42.38142,
16,Average,,47.00214
32,1,27.59742,
32,2,25.97485,
32,3,28.57655,
32,4,25.52365,
32,5,25.51666,
32,Average,,26.63783
