Implementation,Threads,Iterations,Run,Execution Time (s),Average Time (s)
increase,2,34100654080,1,25.68307,
increase,2,34100654080,2,26.01510,
increase,2,34100654080,3,25.80571,
increase,2,34100654080,4,25.59436,
increase,2,34100654080,5,25.60435,
increase,2,34100654080,Average,,25.74052
increase,4,34100654080,1,13.44743,
increase,4,34100654080,2,13.55803,
increase,4,34100654080,3,13.39170,
increase,4,34100654080,4,13.42324,
increase,4,34100654080,5,13.40199,
increase,4,34100654080,Average,,13.44448
increase,8,34100654080,1,13.37857,
increase,8,34100654080,2,13.51673,
increase,8,34100654080,3,13.38873,
increase,8,34100654080,4,13.43589,
increase,8,34100654080,5,13.44574,
increase,8,34100654080,Average,,13.43313
increase,16,34100654080,1,13.44036,
increase,16,34100654080,2,13.46567,
increase,16,34100654080,3,13.41718,
increase,16,34100654080,4,13.40003,
increase,16,34100654080,5,13.36013,
increase,16,34100654080,Average,,13.41667
increase,2,45230187465,1,34.14993,
increase,2,45230187465,2,33.95363,
increase,2,45230187465,3,33.90615,
increase,2,45230187465,4,33.88405,
increase,2,45230187465,5,33.95963,
increase,2,45230187465,Average,,33.97068
increase,4,45230187465,1,17.82607,
increase,4,45230187465,2,17.74370,
increase,4,45230187465,3,17.81242,
increase,4,45230187465,4,17.78364,
increase,4,45230187465,5,17.73707,
increase,4,45230187465,Average,,17.78058
increase,8,45230187465,1,17.79338,
increase,8,45230187465,2,17.98942,
increase,8,45230187465,3,17.94521,
increase,8,45230187465,4,17.85800,
increase,8,45230187465,5,17.76838,
increase,8,45230187465,Average,,17.87088
increase,16,45230187465,1,17.73793,
increase,16,45230187465,2,17.74845,
increase,16,45230187465,3,17.78070,
increase,16,45230187465,4,17.73417,
increase,16,45230187465,5,17.76032,
increase,16,45230187465,Average,,17.75231
increase,2,98310427653,1,74.38239,
increase,2,98310427653,2,73.68529,
increase,2,98310427653,3,73.79941,
increase,2,98310427653,4,73.91305,
increase,2,98310427653,5,74.17155,
increase,2,98310427653,Average,,73.99034
increase,4,98310427653,1,38.99800,
increase,4,98310427653,2,38.84990,
increase,4,98310427653,3,38.69460,
increase,4,98310427653,4,38.74795,
increase,4,98310427653,5,38.80819,
increase,4,98310427653,Average,,38.81973
increase,8,98310427653,1,38.74772,
increase,8,98310427653,2,38.74044,
increase,8,98310427653,3,38.55934,
increase,8,98310427653,4,38.63650,
increase,8,98310427653,5,38.73533,
increase,8,98310427653,Average,,38.68386
increase,16,98310427653,1,38.70380,
increase,16,98310427653,2,38.68752,
increase,16,98310427653,3,38.59486,
increase,16,98310427653,4,38.54758,
increase,16,98310427653,5,38.64524,
increase,16,98310427653,Average,,38.63580
increase_atomic,2,34100654080,1,25.58341,
increase_atomic,2,34100654080,2,25.71657,
increase_atomic,2,34100654080,3,25.67762,
increase_atomic,2,34100654080,4,25.71705,
increase_atomic,2,34100654080,5,25.83516,
increase_atomic,2,34100654080,Average,,25.70596
increase_atomic,4,34100654080,1,13.45075,
increase_atomic,4,34100654080,2,13.88239,
increase_atomic,4,34100654080,3,13.40675,
increase_atomic,4,34100654080,4,13.49281,
increase_atomic,4,34100654080,5,13.65011,
increase_atomic,4,34100654080,Average,,13.57656
increase_atomic,8,34100654080,1,13.39149,
increase_atomic,8,34100654080,2,13.36809,
increase_atomic,8,34100654080,3,13.36625,
increase_atomic,8,34100654080,4,13.41839,
increase_atomic,8,34100654080,5,13.37651,
increase_atomic,8,34100654080,Average,,13.38414
increase_atomic,16,34100654080,1,13.36569,
increase_atomic,16,34100654080,2,13.37491,
increase_atomic,16,34100654080,3,13.43130,
increase_atomic,16,34100654080,4,13.38680,
increase_atomic,16,34100654080,5,13.41189,
increase_atomic,16,34100654080,Average,,13.39412
increase_atomic,2,45230187465,1,34.03010,
increase_atomic,2,45230187465,2,34.00454,
increase_atomic,2,45230187465,3,33.95861,
increase_atomic,2,45230187465,4,33.96970,
increase_atomic,2,45230187465,5,34.07034,
increase_atomic,2,45230187465,Average,,34.00666
increase_atomic,4,45230187465,1,17.81872,
increase_atomic,4,45230187465,2,17.83297,
increase_atomic,4,45230187465,3,17.83580,
increase_atomic,4,45230187465,4,17.77586,
increase_atomic,4,45230187465,5,17.77138,
increase_atomic,4,45230187465,Average,,17.80694
increase_atomic,8,45230187465,1,17.72887,
increase_atomic,8,45230187465,2,17.73241,
increase_atomic,8,45230187465,3,17.86090,
increase_atomic,8,45230187465,4,17.79804,
increase_atomic,8,45230187465,5,17.86418,
