Threads,Throws,Sequential Time (s),Parallel Time (s),Pi
4,1,0.00000,0.00024,4.000000
4,10,0.00000,0.00025,4.000000
4,100,0.00001,0.00023,3.440000
4,1000,0.00006,0.00023,3.212000
4,10000,0.00081,0.00056,3.153600
4,100000,0.00727,0.00233,3.146760
4,1000000,0.02382,0.00652,3.143176
4,10000000,0.20601,0.04881,3.141984
4,100000000,2.06574,0.38686,3.141780
4,1000000000,20.62563,3.80608,3.141581
8,1,0.00000,0.00022,4.000000
8,10,0.00000,0.00044,3.200000
8,100,0.00001,0.00050,2.960000
8,1000,0.00007,0.00053,3.080000
8,10000,0.00045,0.00041,3.127200
8,100000,0.00244,0.00073,3.136880
8,1000000,0.02169,0.00552,3.141688
8,10000000,0.20724,0.04316,3.141342
8,100000000,2.06436,0.38904,3.141735
8,1000000000,20.68305,3.80691,3.141600
16,1,0.00000,0.00035,4.000000
16,10,0.00000,0.00086,3.600000
16,100,0.00001,0.00081,3.200000
16,1000,0.00006,0.00085,3.164000
16,10000,0.00062,0.00088,3.154000
16,100000,0.00613,0.00178,3.147000
16,1000000,0.02522,0.00467,3.139552
16,10000000,0.20835,0.03951,3.142133
16,100000000,2.05724,0.37994,3.141521
16,1000000000,20.93212,3.79507,3.141587
32,1,0.00000,0.00081,4.000000
32,10,0.00000,0.00133,3.200000
32,100,0.00001,0.00174,3.240000
32,1000,0.00006,0.00170,3.200000
32,10000,0.00063,0.00171,3.139200
32,100000,0.00473,0.00199,3.139560
32,1000000,0.02171,0.00504,3.142416
32,10000000,0.21195,0.03894,3.141005
32,100000000,2.06466,0.38157,3.141635
32,1000000000,20.58793,3.78684,3.141621
