Grid Size,Threads,Run,Execution Time (s),Average Time (s),Mode
64x64,Serial,1,0.02840,,Serial
64x64,Serial,2,0.02750,,Serial
64x64,Serial,3,0.02747,,Serial
64x64,Serial,4,0.02910,,Serial
64x64,Serial,5,0.02952,,Serial
64x64,Serial,Average,,0.02840,Serial
64x64,2,1,0.03384,,Parallel
64x64,2,2,0.03367,,Parallel
64x64,2,3,0.03319,,Parallel
64x64,2,4,0.03344,,Parallel
64x64,2,5,0.03500,,Parallel
64x64,2,Average,,0.03383,Parallel
64x64,4,1,0.04487,,Parallel
64x64,4,2,0.04381,,Parallel
64x64,4,3,0.04369,,Parallel
64x64,4,4,0.04565,,Parallel
64x64,4,5,0.04450,,Parallel
64x64,4,Average,,0.04451,Parallel
64x64,8,1,0.06184,,Parallel
64x64,8,2,0.06573,,Parallel
64x64,8,3,0.06621,,Parallel
64x64,8,4,0.06499,,Parallel
64x64,8,5,0.06784,,Parallel
64x64,8,Average,,0.06532,Parallel
64x64,16,1,0.10800,,Parallel
64x64,16,2,0.10994,,Parallel
64x64,16,3,0.11035,,Parallel
64x64,16,4,0.11057,,Parallel
64x64,16,5,0.11415,,Parallel
64x64,16,Average,,0.11060,Parallel
1024x1024,Serial,1,0.05412,,Serial
1024x1024,Serial,2,0.05296,,Serial
1024x1024,Serial,3,0.05295,,Serial
1024x1024,Serial,4,0.05300,,Serial
1024x1024,Serial,5,0.05612,,Serial
1024x1024,Serial,Average,,0.05383,Serial
1024x1024,2,1,0.07161,,Parallel
1024x1024,2,2,0.07173,,Parallel
1024x1024,2,3,0.07836,,Parallel
1024x1024,2,4,0.07205,,Parallel
1024x1024,2,5,0.07365,,Parallel
1024x1024,2,Average,,0.07348,Parallel
1024x1024,4,1,0.10584,,Parallel
1024x1024,4,2,0.10559,,Parallel
1024x1024,4,3,0.10650,,Parallel
1024x1024,4,4,0.10508,,Parallel
1024x1024,4,5,0.10774,,Parallel
1024x1024,4,Average,,0.10615,Parallel
1024x1024,8,1,0.17664,,Parallel
1024x1024,8,2,0.18142,,Parallel
1024x1024,8,3,0.17625,,Parallel
1024x1024,8,4,0.18082,,Parallel
1024x1024,8,5,0.17571,,Parallel
1024x1024,8,Average,,0.17817,Parallel
1024x1024,16,1,0.31722,,Parallel
1024x1024,16,2,0.31805,,Parallel
1024x1024,16,3,0.31502,,Parallel
1024x1024,16,4,0.31690,,Parallel
1024x1024,16,5,0.31593,,Parallel
1024x1024,16,Average,,0.31662,Parallel
4096x4096,Serial,1,0.41601,,Serial
4096x4096,Serial,2,0.41442,,Serial
4096x4096,Serial,3,0.41864,,Serial
4096x4096,Serial,4,0.41628,,Serial
4096x4096,Serial,5,0.42136,,Serial
4096x4096,Serial,Average,,0.41734,Serial
4096x4096,2,1,0.62633,,Parallel
4096x4096,2,2,0.62453,,Parallel
4096x4096,2,3,0.62209,,Parallel
4096x4096,2,4,0.62055,,Parallel
4096x4096,2,5,0.62573,,Parallel
4096x4096,2,Average,,0.62385,Parallel
4096x4096,4,1,1.03480,,Parallel
4096x4096,4,2,1.02735,,Parallel
4096x4096,4,3,1.03033,,Parallel
4096x4096,4,4,1.02687,,Parallel
4096x4096,4,5,1.03104,,Parallel
4096x4096,4,Average,,1.03008,Parallel
4096x4096,8,1,1.82714,,Parallel
4096x4096,8,2,1.81482,,Parallel
4096x4096,8,3,1.81302,,Parallel
4096x4096,8,4,1.81565,,Parallel
4096x4096,8,5,1.81505,,Parallel
4096x4096,8,Average,,1.81714,Parallel
4096x4096,16,1,3.38376,,Parallel
4096x4096,16,2,3.37222,,Parallel
4096x4096,16,3,3.37231,,Parallel
4096x4096,16,4,3.38274,,Parallel
4096x4096,16,5,3.36871,,Parallel
4096x4096,16,Average,,3.37595,Parallel
