Grid Size,Threads,Mode,Run,Execution Time (s)
64x64,1,0,1,0.38717
64x64,1,0,2,0.38853
64x64,1,0,3,0.38444
64x64,1,0,4,0.38040
64x64,1,0,5,0.38509
64x64,1,0,Average,0.38513
64x64,2,1,1,0.32167
64x64,2,1,2,0.32782
64x64,2,1,3,0.32132
64x64,2,1,4,0.33038
64x64,2,1,5,0.35719
64x64,2,1,Average,0.33168
64x64,4,1,1,21.88087
64x64,4,1,2,22.29995
64x64,4,1,3,22.26129
64x64,4,1,4,22.15057
64x64,4,1,5,21.97591
64x64,4,1,Average,22.11372
64x64,8,1,1,0.41664
64x64,8,1,2,0.41848
64x64,8,1,3,0.44509
64x64,8,1,4,0.41435
64x64,8,1,5,0.42894
64x64,8,1,Average,0.42470
64x64,16,1,1,0.47515
64x64,16,1,2,0.46825
64x64,16,1,3,0.49301
64x64,16,1,4,0.48156
64x64,16,1,5,0.48241
64x64,16,1,Average,0.48008
64x64,2,2,1,0.33818
64x64,2,2,2,0.34115
64x64,2,2,3,0.32602
64x64,2,2,4,0.31844
64x64,2,2,5,0.32102
64x64,2,2,Average,0.32896
64x64,4,2,1,22.06637
64x64,4,2,2,22.31987
64x64,4,2,3,22.73994
64x64,4,2,4,22.21992
64x64,4,2,5,21.96795
64x64,4,2,Average,22.26281
64x64,8,2,1,0.38498
64x64,8,2,2,0.40334
64x64,8,2,3,0.42975
64x64,8,2,4,0.39906
64x64,8,2,5,0.40647
64x64,8,2,Average,0.40472
64x64,16,2,1,0.45267
64x64,16,2,2,0.44217
64x64,16,2,3,0.43008
64x64,16,2,4,0.43972
64x64,16,2,5,0.44702
64x64,16,2,Average,0.44233
1024x1024,1,0,1,41.20087
1024x1024,1,0,2,41.00088
1024x1024,1,0,3,40.97410
1024x1024,1,0,4,41.01779
1024x1024,1,0,5,40.98056
1024x1024,1,0,Average,41.03484
1024x1024,2,1,1,21.19260
1024x1024,2,1,2,21.17249
1024x1024,2,1,3,21.24630
1024x1024,2,1,4,21.20931
1024x1024,2,1,5,21.19570
1024x1024,2,1,Average,21.20328
1024x1024,4,1,1,27.90915
1024x1024,4,1,2,28.23449
1024x1024,4,1,3,27.66938
1024x1024,4,1,4,28.59456
1024x1024,4,1,5,27.94385
1024x1024,4,1,Average,28.07029
1024x1024,8,1,1,16.36411
1024x1024,8,1,2,16.26517
1024x1024,8,1,3,16.41439
1024x1024,8,1,4,16.26264
1024x1024,8,1,5,16.38900
1024x1024,8,1,Average,16.33906
1024x1024,16,1,1,16.36421
1024x1024,16,1,2,16.25566
1024x1024,16,1,3,16.26488
1024x1024,16,1,4,16.36688
1024x1024,16,1,5,16.41243
1024x1024,16,1,Average,16.33281
1024x1024,2,2,1,22.25005
1024x1024,2,2,2,22.23614
1024x1024,2,2,3,22.14720
1024x1024,2,2,4,22.15518
1024x1024,2,2,5,22.21096
1024x1024,2,2,Average,22.19990
1024x1024,4,2,1,34.08610
1024x1024,4,2,2,34.20336
1024x1024,4,2,3,34.44388
1024x1024,4,2,4,33.72397
1024x1024,4,2,5,34.00387
1024x1024,4,2,Average,34.09224
1024x1024,8,2,1,15.99615
1024x1024,8,2,2,16.11423
1024x1024,8,2,3,15.95237
1024x1024,8,2,4,16.02772
1024x1024,8,2,5,15.96956
1024x1024,8,2,Average,16.01201
1024x1024,16,2,1,15.75058
1024x1024,16,2,2,15.78269
1024x1024,16,2,3,15.82795
1024x1024,16,2,4,15.78409
1024x1024,16,2,5,15.82223
1024x1024,16,2,Average,15.79351
4096x4096,1,0,1,656.94625
4096x4096,1,0,2,657.68171
4096x4096,1,0,3,656.51224
4096x4096,1,0,4,656.58724
4096x4096,1,0,5,669.52645
4096x4096,1,0,Average,659.45078
4096x4096,2,1,1,353.28123
4096x4096,2,1,2,368.61403
4096x4096,2,1,3,365.59608
4096x4096,2,1,4,355.32395
4096x4096,2,1,5,338.85523
4096x4096,2,1,Average,356.33410
4096x4096,4,1,1,277.80385
4096x4096,4,1,2,277.62693
4096x4096,4,1,3,279.05034
4096x4096,4,1,4,278.27156
4096x4096,4,1,5,278.44465
4096x4096,4,1,Average,278.23947
4096x4096,8,1,1,237.56003
4096x4096,8,1,2,239.05364
4096x4096,8,1,3,238.54591
4096x4096,8,1,4,238.42340
4096x4096,8,1,5,237.62005
4096x4096,8,1,Average,238.24061
4096x4096,16,1,1,240.22770
4096x4096,16,1,2,240.76773
4096x4096,16,1,3,240.80701
4096x4096,16,1,4,240.27984
4096x4096,16,1,5,239.35411
4096x4096,16,1,Average,240.28728
4096x4096,2,2,1,356.29719
4096x4096,2,2,2,355.99752
4096x4096,2,2,3,357.66002
4096x4096,2,2,4,355.43821
4096x4096,2,2,5,356.87825
4096x4096,2,2,Average,356.45424
4096x4096,4,2,1,302.75204
4096x4096,4,2,2,300.82627
4096x4096,4,2,3,301.63689
4096x4096,4,2,4,303.68377
4096x4096,4,2,5,300.61190
4096x4096,4,2,Average,301.90217
4096x4096,8,2,1,250.65255
4096x4096,8,2,2,250.98030
4096x4096,8,2,3,250.86431
4096x4096,8,2,4,250.59951
4096x4096,8,2,5,250.98245
4096x4096,8,2,Average,250.81582
4096x4096,16,2,1,252.62183
4096x4096,16,2,2,251.92709
4096x4096,16,2,3,252.01425
4096x4096,16,2,4,252.48957
4096x4096,16,2,5,252.48047
4096x4096,16,2,Average,252.30664
