Grid Size,Threads,Mode,Schedule,Run,Execution Time (s)
100x100,2,row,static,1,0.003305
100x100,2,row,static,2,0.002535
100x100,2,row,static,3,0.002479
100x100,2,row,static,4,0.002595
100x100,2,row,static,5,0.002620
100x100,2,row,static,Average,0.002707
100x100,2,row,dynamic,1,0.002667
100x100,2,row,dynamic,2,0.002524
100x100,2,row,dynamic,3,0.002900
100x100,2,row,dynamic,4,0.002556
100x100,2,row,dynamic,5,0.002519
100x100,2,row,dynamic,Average,0.002633
100x100,2,row,guided,1,0.002477
100x100,2,row,guided,2,0.006939
100x100,2,row,guided,3,0.002926
100x100,2,row,guided,4,0.002541
100x100,2,row,guided,5,0.002548
100x100,2,row,guided,Average,0.003486
100x100,2,row,runtime,1,0.003577
100x100,2,row,runtime,2,0.002768
100x100,2,row,runtime,3,0.002880
100x100,2,row,runtime,4,0.003010
100x100,2,row,runtime,5,0.002987
100x100,2,row,runtime,Average,0.003044
100x100,2,row,static,1,0.002941
100x100,2,row,static,2,0.002841
100x100,2,row,static,3,0.002992
100x100,2,row,static,4,0.002852
100x100,2,row,static,5,0.002985
100x100,2,row,static,Average,0.002922
100x100,2,row,dynamic,1,0.002851
100x100,2,row,dynamic,2,0.003054
100x100,2,row,dynamic,3,0.002934
100x100,2,row,dynamic,4,0.003070
100x100,2,row,dynamic,5,0.002941
100x100,2,row,dynamic,Average,0.002970
100x100,2,row,guided,1,0.003019
100x100,2,row,guided,2,0.003000
100x100,2,row,guided,3,0.002988
100x100,2,row,guided,4,0.002857
100x100,2,row,guided,5,0.002883
100x100,2,row,guided,Average,0.002949
100x100,2,row,runtime,1,0.002922
100x100,2,row,runtime,2,0.002940
100x100,2,row,runtime,3,0.002783
100x100,2,row,runtime,4,0.002924
100x100,2,row,runtime,5,0.002916
100x100,2,row,runtime,Average,0.002897
100x100,2,column,static,1,0.007220
100x100,2,column,static,2,0.003033
100x100,2,column,static,3,0.002861
100x100,2,column,static,4,0.002954
100x100,2,column,static,5,0.003085
100x100,2,column,static,Average,0.003831
100x100,2,column,dynamic,1,0.003098
100x100,2,column,dynamic,2,0.003012
100x100,2,column,dynamic,3,0.002978
100x100,2,column,dynamic,4,0.003078
100x100,2,column,dynamic,5,0.003044
100x100,2,column,dynamic,Average,0.003042
100x100,2,column,guided,1,0.003056
100x100,2,column,guided,2,0.003080
100x100,2,column,guided,3,0.003066
100x100,2,column,guided,4,0.003080
100x100,2,column,guided,5,0.003046
100x100,2,column,guided,Average,0.003066
100x100,2,column,runtime,1,0.003038
100x100,2,column,runtime,2,0.002849
100x100,2,column,runtime,3,0.003058
100x100,2,column,runtime,4,0.003071
100x100,2,column,runtime,5,0.003161
100x100,2,column,runtime,Average,0.003035
100x100,2,column,static,1,0.002981
100x100,2,column,static,2,0.002983
100x100,2,column,static,3,0.002928
100x100,2,column,static,4,0.002889
100x100,2,column,static,5,0.002926
100x100,2,column,static,Average,0.002941
100x100,2,column,dynamic,1,0.002811
100x100,2,column,dynamic,2,0.002852
100x100,2,column,dynamic,3,0.002912
100x100,2,column,dynamic,4,0.002923
100x100,2,column,dynamic,5,0.002909
100x100,2,column,dynamic,Average,0.002881
100x100,2,column,guided,1,0.002934
100x100,2,column,guided,2,0.002987
100x100,2,column,guided,3,0.002824
100x100,2,column,guided,4,0.002995
100x100,2,column,guided,5,0.002850
100x100,2,column,guided,Average,0.002918
100x100,2,column,runtime,1,0.002944
100x100,2,column,runtime,2,0.002959
100x100,2,column,runtime,3,0.002968
100x100,2,column,runtime,4,0.002966
100x100,2,column,runtime,5,0.002966
100x100,2,column,runtime,Average,0.002961
1000x1000,2,row,static,1,0.023100
1000x1000,2,row,static,2,0.017632
1000x1000,2,row,static,3,0.017057
1000x1000,2,row,static,4,0.025019
1000x1000,2,row,static,5,0.015894
1000x1000,2,row,static,Average,0.019741
1000x1000,2,row,dynamic,1,0.015692
1000x1000,2,row,dynamic,2,0.015950
1000x1000,2,row,dynamic,3,0.015591
1000x1000,2,row,dynamic,4,0.015716
1000x1000,2,row,dynamic,5,0.015571
1000x1000,2,row,dynamic,Average,0.015704
1000x1000,2,row,guided,1,0.015639
1000x1000,2,row,guided,2,0.015864
1000x1000,2,row,guided,3,0.015681
1000x1000,2,row,guided,4,0.015146
1000x1000,2,row,guided,5,0.015312
1000x1000,2,row,guided,Average,0.015528
1000x1000,2,row,runtime,1,0.015690
1000x1000,2,row,runtime,2,0.015670
1000x1000,2,row,runtime,3,0.025272
1000x1000,2,row,runtime,4,0.016003
1000x1000,2,row,runtime,5,0.016524
1000x1000,2,row,runtime,Average,0.017832
1000x1000,2,row,static,1,0.010720
1000x1000,2,row,static,2,0.010587
1000x1000,2,row,static,3,0.010593
1000x1000,2,row,static,4,0.010865
1000x1000,2,row,static,5,0.010908
1000x1000,2,row,static,Average,0.010735
1000x1000,2,row,dynamic,1,0.010636
1000x1000,2,row,dynamic,2,0.010550
1000x1000,2,row,dynamic,3,0.010492
1000x1000,2,row,dynamic,4,0.010587
1000x1000,2,row,dynamic,5,0.010738
1000x1000,2,row,dynamic,Average,0.010601
1000x1000,2,row,guided,1,0.010533
1000x1000,2,row,guided,2,0.010850
1000x1000,2,row,guided,3,0.010727
1000x1000,2,row,guided,4,0.010523
1000x1000,2,row,guided,5,0.010962
1000x1000,2,row,guided,Average,0.010719
1000x1000,2,row,runtime,1,0.010669
1000x1000,2,row,runtime,2,0.010536
1000x1000,2,row,runtime,3,0.010608
1000x1000,2,row,runtime,4,0.010838
1000x1000,2,row,runtime,5,0.010931
1000x1000,2,row,runtime,Average,0.010716
1000x1000,2,column,static,1,0.017030
1000x1000,2,column,static,2,0.016805
1000x1000,2,column,static,3,0.016992
1000x1000,2,column,static,4,0.017501
1000x1000,2,column,static,5,0.016830
1000x1000,2,column,static,Average,0.017032
1000x1000,2,column,dynamic,1,0.016926
1000x1000,2,column,dynamic,2,0.017576
1000x1000,2,column,dynamic,3,0.016949
1000x1000,2,column,dynamic,4,0.017694
1000x1000,2,column,dynamic,5,0.017209
1000x1000,2,column,dynamic,Average,0.017271
1000x1000,2,column,guided,1,0.017142
1000x1000,2,column,guided,2,0.017033
1000x1000,2,column,guided,3,0.016963
1000x1000,2,column,guided,4,0.016614
1000x1000,2,column,guided,5,0.016897
1000x1000,2,column,guided,Average,0.016930
1000x1000,2,column,runtime,1,0.017338
1000x1000,2,column,runtime,2,0.018642
1000x1000,2,column,runtime,3,0.018401
1000x1000,2,column,runtime,4,0.018325
