Grid Size,Processes,Generations,Run,Execution Time (s),Average Time (s)
64x64,2,1000,1,1.96251,
64x64,2,1000,2,2.32727,
64x64,2,1000,3,1.46676,
64x64,2,1000,4,1.43254,
64x64,2,1000,5,1.43566,
64x64,2,1000,Average,,1.72495
64x64,4,1000,1,2.17079,
64x64,4,1000,2,2.16103,
64x64,4,1000,3,2.17654,
64x64,4,1000,4,2.10799,
64x64,4,1000,5,2.42787,
64x64,4,1000,Average,,2.20885
64x64,8,1000,1,15.04369,
64x64,8,1000,2,12.39113,
64x64,8,1000,3,5.11428,
64x64,8,1000,4,5.28305,
64x64,8,1000,5,1.77835,
64x64,8,1000,Average,,7.92210
64x64,16,1000,1,15.48943,
64x64,16,1000,2,19.00752,
64x64,16,1000,3,14.85604,
64x64,16,1000,4,2.85669,
64x64,16,1000,5,1.74826,
64x64,16,1000,Average,,10.79159
1024x1024,2,1000,1,23.83215,
1024x1024,2,1000,2,22.64413,
1024x1024,2,1000,3,24.52931,
1024x1024,2,1000,4,25.48300,
1024x1024,2,1000,5,13.18921,
1024x1024,2,1000,Average,,21.93556
1024x1024,4,1000,1,7.69078,
1024x1024,4,1000,2,7.73262,
1024x1024,4,1000,3,7.71181,
1024x1024,4,1000,4,7.78677,
1024x1024,4,1000,5,7.66373,
1024x1024,4,1000,Average,,7.71714
1024x1024,8,1000,1,29.83930,
1024x1024,8,1000,2,22.03552,
1024x1024,8,1000,3,19.78776,
1024x1024,8,1000,4,19.46137,
1024x1024,8,1000,5,19.43059,
1024x1024,8,1000,Average,,22.11091
1024x1024,16,1000,1,18.79639,
1024x1024,16,1000,2,16.80797,
1024x1024,16,1000,3,17.34730,
1024x1024,16,1000,4,15.95651,
1024x1024,16,1000,5,14.90191,
1024x1024,16,1000,Average,,16.76202
4096x4096,2,1000,1,375.66877,
4096x4096,2,1000,2,368.60055,
4096x4096,2,1000,3,391.07888,
4096x4096,2,1000,4,488.67594,
4096x4096,2,1000,5,501.17185,
4096x4096,2,1000,Average,,425.03920
4096x4096,4,1000,1,259.07613,
4096x4096,4,1000,2,130.89979,
4096x4096,4,1000,3,131.30420,
4096x4096,4,1000,4,130.18242,
4096x4096,4,1000,5,129.99736,
4096x4096,4,1000,Average,,156.29198
4096x4096,8,1000,1,113.36369,
4096x4096,8,1000,2,118.47219,
4096x4096,8,1000,3,117.90088,
4096x4096,8,1000,4,113.66626,
4096x4096,8,1000,5,111.40292,
4096x4096,8,1000,Average,,114.96119
4096x4096,16,1000,1,72.68422,
4096x4096,16,1000,2,89.20073,
4096x4096,16,1000,3,66.74271,
4096x4096,16,1000,4,75.61143,
4096x4096,16,1000,5,75.62245,
4096x4096,16,1000,Average,,75.97231
