Grid Size,Processes,Generations,Run,Execution Time (s),Average Time (s)
64x64,2,1000,1,1.64634,
64x64,2,1000,2,1.52974,
64x64,2,1000,3,1.51309,
64x64,2,1000,4,1.45716,
64x64,2,1000,5,1.51510,
64x64,2,1000,Average,,1.53229
64x64,4,1000,1,1.44781,
64x64,4,1000,2,1.48149,
64x64,4,1000,3,1.44321,
64x64,4,1000,4,1.46094,
64x64,4,1000,5,1.49528,
64x64,4,1000,Average,,1.46574
64x64,8,1000,1,1.67846,
64x64,8,1000,2,1.55935,
64x64,8,1000,3,1.52480,
64x64,8,1000,4,1.53417,
64x64,8,1000,5,1.53508,
64x64,8,1000,Average,,1.56637
64x64,16,1000,1,1.69707,
64x64,16,1000,2,1.58072,
64x64,16,1000,3,1.53396,
64x64,16,1000,4,1.55422,
64x64,16,1000,5,1.66023,
64x64,16,1000,Average,,1.60524
1024x1024,2,1000,1,13.14231,
1024x1024,2,1000,2,13.15056,
1024x1024,2,1000,3,13.17141,
1024x1024,2,1000,4,13.12708,
1024x1024,2,1000,5,13.07859,
1024x1024,2,1000,Average,,13.13399
1024x1024,4,1000,1,7.65768,
1024x1024,4,1000,2,7.73974,
1024x1024,4,1000,3,7.80308,
1024x1024,4,1000,4,7.74690,
1024x1024,4,1000,5,7.80391,
1024x1024,4,1000,Average,,7.75026
1024x1024,8,1000,1,4.82020,
1024x1024,8,1000,2,4.75935,
1024x1024,8,1000,3,4.76958,
1024x1024,8,1000,4,4.75472,
1024x1024,8,1000,5,4.74407,
1024x1024,8,1000,Average,,4.76958
1024x1024,16,1000,1,3.29339,
1024x1024,16,1000,2,3.23440,
1024x1024,16,1000,3,3.27214,
1024x1024,16,1000,4,3.27174,
1024x1024,16,1000,5,3.24443,
1024x1024,16,1000,Average,,3.26322
4096x4096,2,1000,1,190.44783,
4096x4096,2,1000,2,191.98175,
4096x4096,2,1000,3,215.72800,
4096x4096,2,1000,4,279.65202,
4096x4096,2,1000,5,194.96896,
4096x4096,2,1000,Average,,214.55571
4096x4096,4,1000,1,134.08673,
4096x4096,4,1000,2,136.01250,
4096x4096,4,1000,3,132.69571,
4096x4096,4,1000,4,136.42780,
4096x4096,4,1000,5,134.21886,
4096x4096,4,1000,Average,,134.68832
4096x4096,8,1000,1,71.18321,
4096x4096,8,1000,2,70.32226,
4096x4096,8,1000,3,67.93881,
4096x4096,8,1000,4,68.63137,
4096x4096,8,1000,5,84.94608,
4096x4096,8,1000,Average,,72.60434
4096x4096,16,1000,1,53.42467,
4096x4096,16,1000,2,51.36452,
4096x4096,16,1000,3,53.31087,
4096x4096,16,1000,4,53.11184,
4096x4096,16,1000,5,51.54445,
4096x4096,16,1000,Average,,52.55127
