Processes,Grid Size,Run,Execution Time (s)
2,100x100,1,2.183310
2,100x100,2,1.404138
2,100x100,3,1.369992
2,100x100,4,1.369722
2,100x100,5,1.382407
2,100x100,Average,1.541914
2,1000x1000,1,3.109929
2,1000x1000,2,3.064138
2,1000x1000,3,3.012691
2,1000x1000,4,3.080609
2,1000x1000,5,3.165373
2,1000x1000,Average,3.086548
2,5000x5000,1,40.621064
2,5000x5000,2,39.887118
2,5000x5000,3,41.412039
2,5000x5000,4,42.502444
2,5000x5000,5,39.804835
2,5000x5000,Average,40.845500
2,10000x10000,1,154.392330
2,10000x10000,2,152.048162
2,10000x10000,3,156.764640
2,10000x10000,4,155.445428
2,10000x10000,5,164.573466
2,10000x10000,Average,156.644805
4,100x100,1,2.116874
4,100x100,2,1.438248
4,100x100,3,1.437676
4,100x100,4,1.508478
4,100x100,5,1.461115
4,100x100,Average,1.592478
4,1000x1000,1,3.690042
4,1000x1000,2,3.561038
4,1000x1000,3,3.380999
4,1000x1000,4,3.887618
4,1000x1000,5,3.956321
4,1000x1000,Average,3.695204
4,5000x5000,1,59.788212
4,5000x5000,2,57.510325
4,5000x5000,3,58.897011
4,5000x5000,4,57.958662
4,5000x5000,5,58.635336
4,5000x5000,Average,58.557909
4,10000x10000,1,226.911320
4,10000x10000,2,236.383929
4,10000x10000,3,225.315126
4,10000x10000,4,229.493807
4,10000x10000,5,225.280842
4,10000x10000,Average,228.677005
